datetime,open,high,low,close,volume
,SQQQ,SQQQ,SQQQ,SQQQ,SQQQ
2021-09-21,200.5,205.0,198.5,203.25,4661344
2021-09-22,201.25,203.25,194.75,197.25,4463456
2021-09-23,195.25,196.5,190.0,191.75,3418912
2021-09-24,195.5,196.0,190.5,191.0,2902564
2021-09-27,196.25,199.75,194.5,195.75,3257380
2021-09-28,203.5,213.25,202.25,212.25,6413560
2021-09-29,210.0,214.75,206.25,213.5,4942140
2021-09-30,210.75,216.5,207.5,215.75,5513996
2021-10-01,214.75,222.25,209.75,211.75,4564348
2021-10-04,214.75,229.25,214.0,225.0,5466208
2021-10-05,223.0,223.5,211.5,215.75,4685356
2021-10-06,222.0,223.75,211.25,211.75,5834296
2021-10-07,206.0,207.25,201.25,205.75,4160372
2021-10-08,204.0,210.0,203.5,209.25,3577908
2021-10-11,211.75,214.0,205.5,213.75,4176212
2021-10-12,211.25,217.25,210.25,215.75,4237520
2021-10-13,211.75,215.5,209.5,210.75,3580632
2021-10-14,204.25,205.5,198.75,199.0,3627096
2021-10-15,197.0,199.0,195.25,195.25,2499960
2021-10-18,197.5,198.5,189.25,189.25,2977280
2021-10-19,187.75,189.0,185.0,185.5,2813924
2021-10-20,184.5,188.25,183.5,185.75,2968180
2021-10-21,187.0,187.75,182.25,182.5,2670696
2021-10-22,184.5,189.75,182.75,187.0,3722768
2021-10-25,185.0,188.0,179.75,181.25,3309120
2021-10-26,178.0,181.5,174.5,179.75,5228928
2021-10-27,179.0,179.5,173.75,178.25,4535248
2021-10-28,175.75,176.75,172.0,172.5,3950280
2021-10-29,176.75,177.25,169.5,169.75,4089032
2021-11-01,169.25,172.25,168.0,168.25,3690484
2021-11-02,168.75,169.0,165.25,165.75,3144112
2021-11-03,165.25,166.75,160.0,160.5,4821744
2021-11-04,159.0,159.75,153.25,154.75,5948856
2021-11-05,152.25,155.75,151.25,154.25,5946932
2021-11-08,154.25,155.5,152.75,154.75,4029588
2021-11-09,153.5,159.5,153.0,157.75,6440100
2021-11-10,161.25,167.25,157.75,165.0,8139512
2021-11-11,161.0,164.0,160.5,163.25,3830012
2021-11-12,161.75,164.0,157.5,158.0,4618184
2021-11-15,157.0,161.5,156.25,158.25,5078288
2021-11-16,159.25,159.5,154.25,154.75,3748960
2021-11-17,154.75,156.0,152.25,154.75,3778628
2021-11-18,152.25,155.0,149.25,149.75,5693792
2021-11-19,148.0,149.0,146.0,147.25,4922392
2021-11-22,145.75,152.75,142.25,152.75,6321952
2021-11-23,154.0,160.0,151.5,154.75,8234220
2021-11-24,157.5,160.5,152.75,153.0,5764900
2021-11-26,156.25,163.5,154.5,161.5,5850500
2021-11-29,155.75,157.0,149.75,151.25,5848284
2021-11-30,152.25,160.25,149.5,157.75,7718904
2021-12-01,152.5,166.5,149.75,166.25,8283028
2021-12-02,167.75,169.5,159.75,162.25,9900112
2021-12-03,160.5,176.0,159.25,170.5,10254504
2021-12-06,170.25,175.75,164.75,166.5,7019468
2021-12-07,157.75,158.0,150.75,151.25,7858276
2021-12-08,151.0,153.5,149.25,149.5,6721228
2021-12-09,151.0,156.25,148.75,155.75,7900284
2021-12-10,152.5,156.5,150.5,150.75,7757124
2021-12-13,150.75,158.0,150.75,157.5,6446024
2021-12-14,163.25,167.75,160.0,162.25,7328900
2021-12-15,162.75,167.75,150.75,151.5,9651480
2021-12-16,150.0,164.75,149.5,162.5,9130312
2021-12-17,167.5,169.25,159.75,165.0,8234576
2021-12-20,171.75,174.25,169.0,170.0,7617976
2021-12-21,165.5,170.75,158.25,158.5,6405876
2021-12-22,159.0,160.0,152.5,153.0,5229056
2021-12-23,152.5,152.75,147.5,149.5,4798524
2021-12-27,148.0,148.0,142.0,142.25,4069200
2021-12-28,141.25,145.0,140.75,143.75,5004472
2021-12-29,143.5,146.75,142.25,144.0,5040292
2021-12-30,144.25,146.0,141.75,145.25,3048932
2021-12-31,146.0,148.5,144.5,148.5,3732220
2022-01-03,146.75,149.0,143.5,143.5,5308664
2022-01-04,143.0,152.75,143.0,149.25,7556940
2022-01-05,151.0,163.25,149.75,163.25,9424716
2022-01-06,165.5,168.25,159.0,163.5,8488304
2022-01-07,163.5,171.0,161.0,168.5,9092064
2022-01-10,175.25,182.75,167.5,167.75,10878204
2022-01-11,169.5,172.25,160.5,160.75,9905348
2022-01-12,157.5,161.75,155.25,158.5,9360524
2022-01-13,157.10000610351562,171.89999389648438,156.1999969482422,170.3000030517578,12315060
2022-01-14,174.3000030517578,174.4499969482422,167.0,167.5,12652120
2022-01-18,175.3000030517578,180.9499969482422,172.4499969482422,179.5,11428240
2022-01-19,177.5500030517578,186.1999969482422,173.8000030517578,185.75,10714860
2022-01-20,180.8000030517578,193.89999389648438,174.5500030517578,193.0500030517578,12453820
2022-01-21,196.64999389648438,209.5500030517578,192.25,208.9499969482422,18443920
2022-01-24,219.5,240.39999389648438,205.0,206.35000610351562,25011320
2022-01-25,217.85000610351562,226.5,210.1999969482422,220.39999389648438,18620400
